Data Import Template,,,,,,,,,,,,,
Table:,Customer,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,
,,,,,,,,,,,,,
DocType:,Customer,,,,~,Allowed To Transact With,companies,~,Party Account,accounts,~,Sales Team,sales_team
Column Labels:,Full Name,Type,Customer Group,Territory,,Company,,,Company,Account,,Sales Person,
Column Name:,customer_name,customer_type,customer_group,territory,~,company,~,~,company,account,~,sales_person,~
Mandatory:,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,Yes,
Type:,Data,Select,Link,Link,,Link,,,Link,Link,,Link,
Info:,,"One of: Company, Individual",Valid Customer Group,Valid Territory,,Valid Company,,,Valid Company,Valid Account,,Valid Sales Person,
Start entering data below this line,,,,,,,,,,,,,
,JIANGYIN UNI-POL VACUUM CASTING INDIA PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,JINDAL SOFT LTALIA SEATING (P) LTD -AURANGABAD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,JINDAL SOFT LTALIA SEATING (P) LTD -CHAKAN,Company,Commercial,MAHARASHTRA,,,,,,,,,
,KAILASH VAHAN UDYOG LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,KCTR VARSHA AUTOMOTIVE PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,KIRLOSKAR OIL ENGINES LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,KORES INDIA LTD - CHAKAN,Company,Commercial,MAHARASHTRA,,,,,,,,,
,KSH INTERNATIONAL PVT. LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,L G BALKRISHNAN & BROS. LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,LARSEN & TOUBRO LTD - A10,Company,Commercial,MAHARASHTRA,,,,,,,,,
,LARSEN & TOUBRO LTD - ASW,Company,Commercial,MAHARASHTRA,,,,,,,,,
,LAXMI SOAP FACTORY,Company,Commercial,MAHARASHTRA,,,,,,,,,
,LINNHOFF INDIA PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,LUMAX INDUSTRIES LTD - CHAKAN,Company,Commercial,MAHARASHTRA,,,,,,,,,
,MAFLOW INDIAN PVT LTD- SECURITY,Company,Commercial,MAHARASHTRA,,,,,,,,,
,MAHALAXMI MAHILA GRAHAUDYOG CO. OP. SOCIETY LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,Mahati Industries Pvt. Ltd,Company,Commercial,MAHARASHTRA,,,,,,,,,
,MANASI PRESSING PVT. LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
,MINDA CORPORATION LIMITED,Company,Commercial,MAHARASHTRA,,,,,,,,,
,MINDA INDUSTRIES LTD. - CREAT DIVISION,Company,Commercial,MAHARASHTRA,,,,,,,,,
,MINDA KATOLEC ELECTRONICS SERVICES PVT LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,NARSHINHA PATSANSTHA,Company,Commercial,MAHARASHTRA,,,,,,,,,
,NOORYA HOMETEL,Company,Commercial,MAHARASHTRA,,,,,,,,,
,ORIX AUTO INFRASTUCTURE SERVICE LTD,Company,Commercial,MAHARASHTRA,,,,,,,,,
,ORIX LEASING AND FINANCIAL SERVICES INDIA LTD.,Company,Commercial,MAHARASHTRA,,,,,,,,,
